metric,mean,std,min,max
reference_fqrs,139.2,20.89736825535694,123.0,175.0
detected_fqrs,106.4,35.23208764748407,47.0,134.0
sensitivity,0.650696883707504,0.36151666739155885,0.1657142857142857,0.9285714285714286
positive_predictive_value,0.7688287873081603,0.21237066383393804,0.47058823529411764,0.936
f1_score,0.6821723939192879,0.32217636662067667,0.26126126126126126,0.9322709163346613
mean_abs_error_ms,8.967756267005432,4.397872537036309,5.366935483870968,16.32758620689655
estimated_fhr_bpm,106.13948029662811,35.51106265560172,46.27495032987668,134.1390642203377
