record,duration_s,channels,original_fs_hz,pipeline_fs_hz,reference_fqrs,detected_fqrs,true_positives,false_positives,false_negatives,sensitivity,positive_predictive_value,f1_score,mean_abs_error_ms,tolerance_ms,mqrs_detected,mecg_cancelled_mqrs,mean_rr_ms,median_rr_ms,estimated_fhr_bpm,status
a10,60.0,4,1000.0,2000.0,175,47,29,18,146,0.1657142857142857,0.6170212765957447,0.26126126126126126,16.32758620689655,50.0,110,99,1296.5978260869567,753.4999999999999,46.27495032987668,ok
a12,60.0,4,1000.0,2000.0,138,134,124,10,14,0.8985507246376812,0.9253731343283582,0.9117647058823529,5.366935483870968,50.0,87,76,447.29699248120295,442.00000000000017,134.1390642203377,ok
a13,60.0,4,1000.0,2000.0,126,125,117,8,9,0.9285714285714286,0.936,0.9322709163346613,9.581196581196581,50.0,81,71,480.4112903225806,478.7500000000016,124.89298484161758,ok
a14,60.0,4,1000.0,2000.0,123,124,111,13,12,0.9024390243902439,0.8951612903225806,0.8987854251012146,6.396396396396397,50.0,102,91,485.3536585365853,483.00000000000057,123.6211965124752,ok
a15,60.0,4,1000.0,2000.0,134,102,48,54,86,0.3582089552238806,0.47058823529411764,0.4067796610169491,7.166666666666667,50.0,114,102,589.5693069306931,540.9999999999968,101.76920557883335,ok
